#,id,leetcode_url,date,title,difficulty,tags
1,7,https://leetcode.com/problems/reverse-integer/,2021-07-19,Reverse Integer,Easy,Math
2,9,https://leetcode.com/problems/palindrome-number/,2021-07-20,Palindrome Number,Easy,Math
3,5,https://leetcode.com/problems/longest-palindromic-substring/,2021-07-21,Longest Palindromic Substring,Medium,String;Dynamic Programming
4,20,https://leetcode.com/problems/valid-parentheses/,2021-07-22,Valid Parentheses,Easy,String;Stack
5,35,https://leetcode.com/problems/search-insert-position/,2021-07-23,Search Insert Position,Easy,Array;Binary Search
6,3,https://leetcode.com/problems/longest-substring-without-repeating-characters/,2021-07-24,Longest Substring Without Repeating Characters,Medium,Hash Table;String;Sliding Window
7,4,https://leetcode.com/problems/median-of-two-sorted-arrays/,2021-07-25,Median of Two Sorted Arrays,Hard,Array;Binary Search;Divide and Conquer
8,13,https://leetcode.com/problems/roman-to-integer/,2021-07-26,Roman to Integer,Easy,Hash Table;Math;String
9,83,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,2021-07-27,Remove Duplicates from Sorted List,Easy,Linked List
10,12,https://leetcode.com/problems/integer-to-roman/,2021-07-28,Integer to Roman,Medium,Hash Table;Math;String
11,100,https://leetcode.com/problems/same-tree/,2021-07-29,Same Tree,Easy,Tree;Depth-First Search;Breadth-First Search;Binary Tree
12,104,https://leetcode.com/problems/maximum-depth-of-binary-tree/,2021-07-30,Maximum Depth of Binary Tree,Easy,Tree;Depth-First Search;Breadth-First Search;Binary Tree
13,45,https://leetcode.com/problems/jump-game-ii/,2021-07-31,Jump Game II,Medium,Array;Dynamic Programming;Greedy
14,64,https://leetcode.com/problems/minimum-path-sum/,2021-08-01,Minimum Path Sum,Medium,Array;Dynamic Programming;Matrix
15,21,https://leetcode.com/problems/merge-two-sorted-lists/,2021-08-02,Merge Two Sorted Lists,Easy,Linked List;Recursion
16,48,https://leetcode.com/problems/rotate-image/,2021-08-03,Rotate Image,Medium,Array;Math;Matrix
17,2,https://leetcode.com/problems/add-two-numbers/,2021-08-04,Add Two Numbers,Medium,Linked List;Math;Recursion
18,1,https://leetcode.com/problems/two-sum/,2021-08-05,Two Sum,Easy,Array;Hash Table
